Date,Amount,Category,Description
01-08-2024,16880.0,Income,
02-08-2024,110.0,Expense,for dinner
03-08-2024,450.0,Expense,b'day gift
03-08-2024,86.0,Expense,stationary
04-08-2024,200.0,Expense,groceries
05-08-2024,30.0,Expense,coffee 
06-08-2024,500.0,Expense,phone bill
07-08-2024,1000.0,Expense,rent
08-08-2024,50.0,Expense,transportation
09-08-2024,120.0,Expense,laundry
10-08-2024,80.0,Expense,books
11-08-2024,300.0,Expense,entertainment
12-08-2024,150.0,Expense,gym membership
13-08-2024,70.0,Expense,snacks
14-08-2024,2000.0,Income,
15-08-2024,90.0,Expense,restaurant
16-08-2024,25.0,Expense,pet supplies
17-08-2024,400.0,Expense,vacation
18-08-2024,60.0,Expense,utilities
19-08-2024,180.0,Expense,clothing
20-08-2024,75.0,Expense,home decor
21-08-2024,250.0,Expense,medical expenses
22-08-2024,100.0,Expense,gifts
23-08-2024,70.0,Expense,snacks
